FECHA HECHO,COD_DEPTO,DEPARTAMENTO,COD_MUNI,MUNICIPIO,DESCRIPCION CONDUCTA,CANTIDAD
09/01/2023 12:00:00 AM,13,BOLIVAR,13001,CARTAGENA,ARTICULO 188 A.- TRATA DE PERSONAS,1
09/01/2023 12:00:00 AM,73,TOLIMA,73001,IBAGUE,ARTICULO 188 A.- TRATA DE PERSONAS,1
09/01/2023 12:00:00 AM,73,TOLIMA,73001,IBAGUE,ARTICULO 188 A.- TRATA DE PERSONAS,1
09/01/2023 12:00:00 AM,11,BOGOTA D.C.,11001,BOGOTA D.C.,ARTICULO 188 A.- TRATA DE PERSONAS,1
09/03/2023 12:00:00 AM,11,BOGOTA D.C.,11001,BOGOTA D.C.,ARTICULO 188. TRAFICO DE MIGRANTES,1
09/03/2023 12:00:00 AM,11,BOGOTA D.C.,11001,BOGOTA D.C.,ARTICULO 188. TRAFICO DE MIGRANTES,1
09/05/2023 12:00:00 AM,05,ANTIOQUIA,05001,MEDELLIN,ARTICULO 188 A.- TRATA DE PERSONAS,1
09/09/2023 12:00:00 AM,05,ANTIOQUIA,05001,MEDELLIN,ARTICULO 188 A.- TRATA DE PERSONAS,1
09/09/2023 12:00:00 AM,05,ANTIOQUIA,05001,MEDELLIN,ARTICULO 188 A.- TRATA DE PERSONAS,1
09/09/2023 12:00:00 AM,68,SANTANDER,68001,BUCARAMANGA,ARTICULO 188 A.- TRATA DE PERSONAS,1
09/09/2023 12:00:00 AM,11,BOGOTA D.C.,11001,BOGOTA D.C.,ARTICULO 188 A.- TRATA DE PERSONAS,1
09/09/2023 12:00:00 AM,11,BOGOTA D.C.,11001,BOGOTA D.C.,ARTICULO 188 A.- TRATA DE PERSONAS,1
09/11/2023 12:00:00 AM,05,ANTIOQUIA,05001,MEDELLIN,ARTICULO 188 A.- TRATA DE PERSONAS,1
09/11/2023 12:00:00 AM,05,ANTIOQUIA,05001,MEDELLIN,ARTICULO 188 A.- TRATA DE PERSONAS,1
09/11/2023 12:00:00 AM,05,ANTIOQUIA,05001,MEDELLIN,ARTICULO 188 A.- TRATA DE PERSONAS,1
09/11/2023 12:00:00 AM,05,ANTIOQUIA,05001,MEDELLIN,ARTICULO 188 A.- TRATA DE PERSONAS,1
09/11/2023 12:00:00 AM,05,ANTIOQUIA,05001,MEDELLIN,ARTICULO 188 A.- TRATA DE PERSONAS,1
09/13/2023 12:00:00 AM,54,NORTE DE SANTANDER,54001,CUCUTA,ARTICULO 188 A.- TRATA DE PERSONAS,1
09/14/2023 12:00:00 AM,81,ARAUCA,81001,ARAUCA,ARTICULO 188 A.- TRATA DE PERSONAS,1
09/15/2023 12:00:00 AM,11,BOGOTA D.C.,11001,BOGOTA D.C.,ARTICULO 188 A.- TRATA DE PERSONAS,1
09/15/2023 12:00:00 AM,11,BOGOTA D.C.,11001,BOGOTA D.C.,ARTICULO 188 A.- TRATA DE PERSONAS,1
09/18/2023 12:00:00 AM,54,NORTE DE SANTANDER,54001,CUCUTA,ARTICULO 188 A.- TRATA DE PERSONAS,1
09/18/2023 12:00:00 AM,17,CALDAS,17001,MANIZALES,ARTICULO 188 A.- TRATA DE PERSONAS,1
09/19/2023 12:00:00 AM,68,SANTANDER,68081,BARRANCABERMEJA,ARTICULO 188 A.- TRATA DE PERSONAS,1
09/20/2023 12:00:00 AM,76,VALLE DEL CAUCA,76520,PALMIRA,ARTICULO 188 A.- TRATA DE PERSONAS,1
09/24/2023 12:00:00 AM,05,ANTIOQUIA,05615,RIONEGRO,ARTICULO 188 A.- TRATA DE PERSONAS,1
09/26/2023 12:00:00 AM,11,BOGOTA D.C.,11001,BOGOTA D.C.,ARTICULO 188 A.- TRATA DE PERSONAS,1
09/27/2023 12:00:00 AM,05,ANTIOQUIA,05364,JARDIN,ARTICULO 188 A.- TRATA DE PERSONAS,1
09/29/2023 12:00:00 AM,13,BOLIVAR,13001,CARTAGENA,ARTICULO 188 A.- TRATA DE PERSONAS,1
09/30/2023 12:00:00 AM,11,BOGOTA D.C.,11001,BOGOTA D.C.,ARTICULO 188 A.- TRATA DE PERSONAS,1
10/01/2023 12:00:00 AM,54,NORTE DE SANTANDER,54001,CUCUTA,ARTICULO 188 A.- TRATA DE PERSONAS,1
10/02/2023 12:00:00 AM,11,BOGOTA D.C.,11001,BOGOTA D.C.,ARTICULO 188 A.- TRATA DE PERSONAS,1
10/02/2023 12:00:00 AM,11,BOGOTA D.C.,11001,BOGOTA D.C.,ARTICULO 188 A.- TRATA DE PERSONAS,1
10/02/2023 12:00:00 AM,54,NORTE DE SANTANDER,54001,CUCUTA,ARTICULO 188 A.- TRATA DE PERSONAS,1
10/02/2023 12:00:00 AM,54,NORTE DE SANTANDER,54001,CUCUTA,ARTICULO 188 A.- TRATA DE PERSONAS,1
10/02/2023 12:00:00 AM,54,NORTE DE SANTANDER,54001,CUCUTA,ARTICULO 188 A.- TRATA DE PERSONAS,1
10/03/2023 12:00:00 AM,05,ANTIOQUIA,05001,MEDELLIN,ARTICULO 188 A.- TRATA DE PERSONAS,2
10/03/2023 12:00:00 AM,54,NORTE DE SANTANDER,54001,CUCUTA,ARTICULO 188 A.- TRATA DE PERSONAS,1
10/05/2023 12:00:00 AM,11,BOGOTA D.C.,11001,BOGOTA D.C.,ARTICULO 188 A.- TRATA DE PERSONAS,1
10/06/2023 12:00:00 AM,63,QUINDIO,63001,ARMENIA,ARTICULO 188 A.- TRATA DE PERSONAS,1
10/07/2023 12:00:00 AM,11,BOGOTA D.C.,11001,BOGOTA D.C.,ARTICULO 188 A.- TRATA DE PERSONAS,1
10/09/2023 12:00:00 AM,05,ANTIOQUIA,05490,NECOCLI,ARTICULO 188 A.- TRATA DE PERSONAS,1
10/09/2023 12:00:00 AM,08,ATLANTICO,08001,BARRANQUILLA,ARTICULO 188 A.- TRATA DE PERSONAS,1
10/09/2023 12:00:00 AM,11,BOGOTA D.C.,11001,BOGOTA D.C.,ARTICULO 188 A.- TRATA DE PERSONAS,1
10/10/2023 12:00:00 AM,25,CUNDINAMARCA,25486,NEMOCON,ARTICULO 188 A.- TRATA DE PERSONAS,1
10/11/2023 12:00:00 AM,15,BOYACA,15001,TUNJA,ARTICULO 188 A.- TRATA DE PERSONAS,1
10/11/2023 12:00:00 AM,54,NORTE DE SANTANDER,54001,CUCUTA,ARTICULO 188 A.- TRATA DE PERSONAS,1
10/12/2023 12:00:00 AM,54,NORTE DE SANTANDER,54001,CUCUTA,ARTICULO 188 A.- TRATA DE PERSONAS,1
10/13/2023 12:00:00 AM,50,META,50568,PUERTO GAITAN,ARTICULO 188 A.- TRATA DE PERSONAS,1
10/15/2023 12:00:00 AM,05,ANTIOQUIA,05001,MEDELLIN,ARTICULO 188 A.- TRATA DE PERSONAS,1
10/18/2023 12:00:00 AM,11,BOGOTA D.C.,11001,BOGOTA D.C.,ARTICULO 188 A.- TRATA DE PERSONAS,1
10/23/2023 12:00:00 AM,50,META,50001,VILLAVICENCIO,ARTICULO 188 A.- TRATA DE PERSONAS,1
10/23/2023 12:00:00 AM,50,META,50001,VILLAVICENCIO,ARTICULO 188 A.- TRATA DE PERSONAS,1
10/24/2023 12:00:00 AM,05,ANTIOQUIA,05001,MEDELLIN,ARTICULO 188 A.- TRATA DE PERSONAS,1
10/28/2023 12:00:00 AM,13,BOLIVAR,13074,BARRANCO DE LOBA,ARTICULO 188 A.- TRATA DE PERSONAS,1
10/29/2023 12:00:00 AM,05,ANTIOQUIA,05001,MEDELLIN,ARTICULO 188 A.- TRATA DE PERSONAS,1
10/31/2023 12:00:00 AM,11,BOGOTA D.C.,11001,BOGOTA D.C.,ARTICULO 188 A.- TRATA DE PERSONAS,1
